iter	Passed	Remaining
0	5	5791
1	11	5658
2	16	5450
3	23	5832
4	28	5692
5	34	5767
6	40	5706
7	45	5671
8	50	5598
9	57	5692
10	63	5671
11	68	5679
12	75	5715
13	80	5675
14	87	5732
15	92	5680
16	99	5737
17	105	5752
18	110	5710
19	117	5760
20	123	5773
21	130	5783
22	138	5881
23	145	5926
24	152	5959
25	158	5945
26	164	5922
27	171	5968
28	178	5987
29	187	6047
30	193	6057
31	202	6130
32	210	6166
33	217	6170
34	224	6181
35	230	6165
36	237	6169
37	242	6151
38	249	6149
39	255	6120
40	264	6175
41	270	6167
42	278	6207
43	285	6195
44	294	6257
45	301	6244
46	307	6242
47	313	6211
48	321	6236
49	328	6234
50	334	6217
51	341	6226
52	352	6295
53	371	6513
54	383	6585
55	397	6701
56	414	6853
57	425	6914
58	431	6884
59	442	6924
60	450	6935
61	462	6994
62	475	7074
63	483	7072
64	496	7136
65	511	7238
66	521	7267
67	529	7251
68	535	7220
69	542	7207
70	547	7167
71	555	7160
72	561	7135
73	568	7117
74	574	7082
75	581	7065
76	586	7032
77	594	7025
78	603	7033
79	608	7000
80	616	6991
81	621	6956
82	627	6936
83	633	6912
84	639	6880
85	645	6856
86	650	6828
87	656	6804
88	661	6767
89	667	6751
90	672	6719
91	681	6728
92	687	6707
93	695	6702
94	702	6687
95	706	6651
96	717	6677
97	722	6649
98	730	6650
99	735	6622
100	743	6616
101	750	6607
102	756	6588
103	763	6580
104	770	6567
105	780	6582
106	789	6588
107	798	6596
108	804	6579
109	812	6575
110	818	6556
111	826	6552
112	833	6539
113	840	6531
114	844	6501
115	850	6482
116	857	6468
117	862	6449
118	868	6429
119	875	6417
120	881	6400
121	886	6378
122	893	6372
123	898	6349
124	907	6352
125	911	6324
126	919	6318
127	924	6299
128	930	6281
129	938	6280
130	944	6266
131	949	6243
132	956	6234
133	961	6210
134	972	6229
135	978	6218
136	986	6215
137	992	6200
138	996	6175
139	1004	6170
140	1009	6151
141	1017	6146
142	1028	6166
143	1035	6154
144	1041	6142
145	1048	6135
146	1055	6123
147	1060	6104
148	1067	6094
149	1072	6079
150	1083	6089
151	1088	6072
152	1098	6078
153	1103	6061
154	1113	6069
155	1120	6060
156	1128	6058
157	1134	6046
158	1140	6030
159	1149	6032
160	1154	6015
161	1165	6029
162	1170	6011
163	1180	6018
164	1186	6003
165	1196	6010
166	1201	5995
167	1210	5997
168	1224	6022
169	1231	6010
170	1241	6017
171	1248	6011
172	1257	6009
173	1264	6003
174	1272	5997
175	1279	5990
176	1288	5992
177	1293	5975
178	1300	5965
179	1310	5969
180	1318	5965
181	1325	5959
182	1329	5937
183	1339	5942
184	1344	5924
185	1353	5922
186	1359	5909
187	1366	5903
188	1374	5895
189	1380	5885
190	1389	5885
191	1394	5870
192	1404	5871
193	1408	5852
194	1417	5853
195	1426	5850
196	1437	5859
197	1447	5864
198	1454	5854
199	1465	5862
200	1473	5859
201	1482	5857
202	1489	5849
203	1500	5855
204	1513	5868
205	1530	5900
206	1554	5955
207	1569	5975
208	1588	6010
209	1610	6060
210	1620	6060
211	1629	6057
212	1640	6062
213	1648	6053
214	1658	6054
215	1667	6051
216	1680	6065
217	1689	6059
218	1699	6062
219	1711	6068
220	1721	6067
221	1728	6058
222	1740	6062
223	1746	6050
224	1756	6049
225	1770	6062
226	1777	6052
227	1786	6047
228	1792	6033
229	1799	6025
230	1805	6010
231	1813	6002
232	1822	5998
233	1827	5983
234	1835	5974
235	1842	5965
236	1850	5956
237	1856	5944
238	1863	5932
239	1870	5923
240	1876	5909
241	1882	5897
242	1888	5882
243	1894	5870
244	1900	5856
245	1907	5845
246	1914	5835
247	1920	5821
248	1925	5807
249	1931	5795
250	1938	5785
251	1944	5770
252	1950	5760
253	1956	5745
254	1962	5732
255	1967	5717
256	1974	5707
257	1982	5702
258	1989	5691
259	1995	5680
260	2002	5670
261	2009	5659
262	2015	5648
263	2020	5632
264	2027	5623
265	2032	5609
266	2040	5600
267	2046	5588
268	2052	5577
269	2060	5570
270	2068	5564
271	2076	5558
272	2087	5560
273	2094	5550
274	2101	5541
275	2124	5572
276	2131	5563
277	2141	5560
278	2147	5548
279	2154	5540
280	2161	5530
281	2171	5529
282	2179	5520
283	2186	5513
284	2194	5505
285	2201	5496
286	2209	5488
287	2222	5494
288	2231	5490
289	2239	5482
290	2249	5480
291	2255	5468
292	2264	5463
293	2271	5453
294	2281	5451
295	2286	5438
296	2296	5434
297	2302	5424
298	2310	5416
299	2315	5402
300	2321	5391
301	2329	5384
302	2335	5373
303	2341	5360
304	2347	5350
305	2354	5340
306	2360	5328
307	2366	5316
308	2372	5305
309	2377	5292
310	2383	5280
311	2387	5265
312	2393	5254
313	2399	5242
314	2405	5231
315	2412	5221
316	2416	5206
317	2433	5219
318	2439	5208
319	2446	5198
320	2452	5187
321	2457	5175
322	2463	5164
323	2469	5152
324	2476	5142
325	2481	5131
326	2487	5118
327	2493	5107
328	2499	5097
329	2506	5089
330	2512	5077
331	2517	5065
332	2524	5055
333	2529	5043
334	2537	5037
335	2543	5026
336	2551	5019
337	2558	5011
338	2565	5002
339	2570	4989
340	2576	4980
341	2582	4969
342	2588	4958
343	2594	4947
344	2599	4934
345	2604	4922
346	2609	4910
347	2615	4900
348	2621	4889
349	2629	4882
350	2634	4871
351	2640	4861
352	2646	4849
353	2652	4840
354	2656	4827
355	2663	4818
356	2669	4808
357	2675	4798
358	2682	4789
359	2688	4779
360	2694	4770
361	2699	4758
362	2705	4748
363	2711	4737
364	2717	4728
365	2722	4715
366	2729	4707
367	2735	4697
368	2740	4685
369	2746	4676
370	2752	4666
371	2760	4660
372	2766	4651
373	2775	4645
374	2780	4634
375	2788	4627
376	2794	4618
377	2801	4609
378	2808	4602
379	2814	4592
380	2822	4586
381	2828	4576
382	2835	4568
383	2841	4558
384	2846	4547
385	2853	4538
386	2858	4528
387	2865	4519
388	2871	4510
389	2878	4501
390	2883	4491
391	2889	4481
392	2894	4469
393	2899	4459
394	2905	4449
395	2911	4440
396	2918	4432
397	2924	4422
398	2929	4413
399	2936	4404
400	2942	4395
401	2949	4387
402	2953	4375
403	2959	4366
404	2967	4359
405	2974	4351
406	2979	4340
407	2985	4331
408	2989	4319
409	2994	4308
410	3001	4300
411	3006	4291
412	3011	4280
413	3018	4272
414	3022	4261
415	3029	4252
416	3033	4241
417	3039	4231
418	3046	4224
419	3052	4215
420	3065	4215
421	3071	4206
422	3085	4208
423	3093	4202
424	3100	4194
425	3106	4186
426	3113	4177
427	3119	4169
428	3126	4161
429	3134	4154
430	3142	4148
431	3149	4140
432	3155	4131
433	3162	4124
434	3167	4114
435	3174	4106
436	3179	4096
437	3184	4085
438	3191	4078
439	3198	4070
440	3204	4062
441	3210	4052
442	3216	4043
443	3221	4034
444	3227	4025
445	3232	4015
446	3240	4008
447	3244	3997
448	3251	3989
449	3257	3981
450	3263	3972
451	3269	3964
452	3275	3955
453	3281	3946
454	3287	3937
455	3293	3929
456	3298	3918
457	3305	3911
458	3310	3902
459	3318	3895
460	3324	3887
461	3331	3879
462	3338	3871
463	3343	3862
464	3350	3854
465	3355	3844
466	3361	3836
467	3368	3829
468	3374	3821
469	3383	3815
470	3390	3808
471	3397	3801
472	3404	3793
473	3409	3783
474	3419	3779
475	3425	3770
476	3434	3765
477	3439	3756
478	3446	3749
479	3455	3743
480	3465	3739
481	3473	3732
482	3484	3729
483	3492	3722
484	3501	3718
485	3512	3714
486	3523	3711
487	3530	3704
488	3545	3704
489	3552	3697
490	3560	3690
491	3568	3684
492	3579	3680
493	3586	3674
494	3593	3666
495	3599	3657
496	3607	3651
497	3614	3643
498	3623	3637
499	3630	3630
500	3637	3623
