Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,University,College,Program,Student_Type,Enrollment_Year,Dropout_Reason,Predicted_Target,Prob_Dropout,Prob_Enrolled,Prob_Graduate,Risk_Score,Risk_Label,Engagement_Flag
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Khalifa University,College of Computing & Mathematical Sciences,Data Science,Emirati,2019,Transferred to another university,Dropout,0.46933234,0.14281619,0.38785148,0.46933234,Medium,Normal
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,HCT,Faculty of Business,Business Technology,Emirati,2019,,Graduate,0.25071198,0.13276279,0.6165253,0.25071198,Medium,Normal
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Abu Dhabi University,College of Arts & Sciences,Mathematics,Expat,2020,Financial difficulties,Dropout,0.5507986,0.13300812,0.31619328,0.5507986,High,Normal
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Zayed University,College of Communication & Media Sciences,Public Relations,Expat,2019,,Graduate,0.24788977,0.14903332,0.60307693,0.24788977,Medium,Normal
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,UAEU,College of Engineering,Computer Engineering,Emirati,2019,,Graduate,0.21178865,0.12317403,0.66503733,0.21178865,Low,Normal
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Abu Dhabi University,College of Engineering,Civil Engineering,Expat,2022,,Graduate,0.25353333,0.15671358,0.5897531,0.25353333,Medium,Normal
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Khalifa University,College of Computing & Mathematical Sciences,Computer Science,Expat,2020,,Graduate,0.21134837,0.123242825,0.6654088,0.21134837,Low,Normal
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Khalifa University,College of Computing & Mathematical Sciences,Data Science,Expat,2019,Work commitment,Dropout,0.5507986,0.13300812,0.31619328,0.5507986,High,Normal
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,UAEU,College of Business & Economics,Economics,Expat,2021,,Graduate,0.21131481,0.12338205,0.6653032,0.21131481,Low,Normal
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,HCT,Faculty of Business,Logistics & Transport,Emirati,2019,Academic failure,Dropout,0.54119986,0.14731959,0.31148052,0.54119986,High,Normal
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,AUS,School of Engineering,Mechanical Engineering,Expat,2020,,Graduate,0.2366173,0.12752847,0.63585424,0.2366173,Low,Normal
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Abu Dhabi University,College of Business Administration,Supply Chain Management,Emirati,2023,,Graduate,0.2304305,0.16690172,0.6026678,0.2304305,Low,Normal
