Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,University,College,Program,Student_Type,Enrollment_Year,Dropout_Reason,Predicted_Target,Prob_Dropout,Prob_Enrolled,Prob_Graduate,Risk_Score,Risk_Label,Engagement_Flag
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Khalifa University,College of Computing & Mathematical Sciences,Data Science,Emirati,2025,Transferred to another university,Dropout,0.47803578,0.14634933,0.3756149,0.47803578,Medium,Normal
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,HCT,Faculty of Business,Business Technology,Emirati,2025,,Graduate,0.2519993,0.13314843,0.6148523,0.2519993,Medium,Normal
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Abu Dhabi University,College of Arts & Sciences,Mathematics,Expat,2024,Financial difficulties,Dropout,0.5514052,0.13267608,0.3159187,0.5514052,High,Normal
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Zayed University,College of Communication & Media Sciences,Public Relations,Expat,2025,,Graduate,0.25053862,0.15597571,0.59348565,0.25053862,Medium,Normal
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,UAEU,College of Engineering,Computer Engineering,Emirati,2025,,Graduate,0.21187638,0.12307208,0.6650515,0.21187638,Low,Normal
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Abu Dhabi University,College of Engineering,Civil Engineering,Expat,2022,,Graduate,0.261756,0.14723435,0.5910096,0.261756,Medium,Normal
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Khalifa University,College of Computing & Mathematical Sciences,Computer Science,Expat,2024,,Graduate,0.21167578,0.12310341,0.6652208,0.21167578,Low,Normal
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Khalifa University,College of Computing & Mathematical Sciences,Data Science,Expat,2025,Work commitment,Dropout,0.5514052,0.13267608,0.3159187,0.5514052,High,Normal
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,UAEU,College of Business & Economics,Economics,Expat,2023,,Graduate,0.21167578,0.12310341,0.6652208,0.21167578,Low,Normal
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,HCT,Faculty of Business,Logistics & Transport,Emirati,2025,Academic failure,Dropout,0.5366894,0.15261455,0.31069604,0.5366894,High,Normal
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,AUS,School of Engineering,Mechanical Engineering,Expat,2024,,Graduate,0.22983293,0.12608741,0.6440796,0.22983293,Low,Normal
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Abu Dhabi University,College of Business Administration,Supply Chain Management,Emirati,2021,,Graduate,0.22517513,0.15613951,0.61868536,0.22517513,Low,Normal
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Zayed University,College of Education,Early Childhood Education,Emirati,2025,Academic failure,Dropout,0.5514052,0.13267608,0.3159187,0.5514052,High,Normal
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Khalifa University,College of Medicine,Biomedical Research,Emirati,2022,,Graduate,0.24318112,0.16757968,0.5892392,0.24318112,Medium,Normal
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,HCT,Faculty of Health Sciences,Medical Laboratory,Emirati,2025,,Graduate,0.21167578,0.12310341,0.6652208,0.21167578,Low,Normal
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,AUS,College of Arts & Sciences,Mass Communication,Expat,2023,Transferred to another university,Dropout,0.5275423,0.15145563,0.32100204,0.5275423,High,Normal
1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,HCT,Faculty of Information Technology,Software Development,Abroad,2022,,Enrolled,0.3044565,0.3587652,0.33677828,0.3044565,Medium,Normal
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,UAEU,College of Medicine & Health Sciences,Nursing,Expat,2025,,Graduate,0.21187638,0.12307208,0.6650515,0.21187638,Low,Normal
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,Khalifa University,College of Computing & Mathematical Sciences,Applied Mathematics,Emirati,2023,,Graduate,0.24192877,0.17985754,0.57821375,0.24192877,Medium,Normal
